estagio,projeto,area,etapa,decisao,vpl,tfunil
36,p32.1,0,2,Melhorar,297.8846264311711,2.6666666666666665
36,p30.0,0,3,Continuar,220.1905615363107,3.0
37,p35.1,0,1,Melhorar,366.8617620482692,1.3333333333333335
37,p36.0,1,1,Abandonar,149.55580477730877,1.0
37,p36.1,0,1,Melhorar,151.06212002723166,1.0
37,p32.1,0,3,Continuar,293.22035680801724,3.0
37,p30.0,0,3,Abandonar,215.40434241115545,3.5
38,p35.1,0,1,Melhorar,422.8784996693773,1.6666666666666667
38,p36.1,0,1,Melhorar,173.59258511244008,1.3333333333333335
38,p37.0,0,1,Continuar,268.9008134903532,1.0
38,p37.1,0,1,Abandonar,21.163596225916727,1.0
38,p32.1,0,3,Abandonar,263.9660029764648,3.5
39,p36.1,0,1,Melhorar,185.6487880899318,1.6666666666666667
39,p37.0,0,1,Continuar,273.34963042072195,1.5
39,p38.0,0,1,Continuar,136.3173354328322,1.0
39,p38.1,1,1,Continuar,249.11592485905152,1.0
39,p35.1,0,2,Melhorar,613.2084156982422,2.0
40,p38.1,1,1,Continuar,272.6829819798871,1.5
40,p39.0,1,1,Abandonar,-24.5354395693381,1.0
40,p39.1,1,1,Melhorar,65.02927944527592,1.0
40,p36.1,0,2,Continuar,214.2955487142723,2.0
40,p37.0,0,2,Melhorar,264.65080522290356,2.0
40,p38.0,0,2,Continuar,166.4747023694459,2.0
40,p35.1,0,2,Melhorar,658.1990582869423,2.5
41,p39.1,1,1,Continuar,118.95519406560477,1.3333333333333335
41,p40.0,0,1,Melhorar,239.97944395227765,1.0
41,p40.1,1,1,Melhorar,25.299600568642557,1.0
41,p38.1,1,2,Melhorar,238.02761817572102,2.0
41,p37.0,0,2,Continuar,304.9392552291119,2.3333333333333335
41,p38.0,0,2,Continuar,143.3126773800823,2.0
41,p36.1,0,3,Continuar,196.73462454263293,3.0
41,p35.1,0,3,Melhorar,689.43578546021,3.0
42,p39.1,1,1,Continuar,123.83898462374158,1.6666666666666667
42,p40.0,0,1,Continuar,246.50247915310456,1.5
42,p40.1,1,1,Melhorar,54.002962431880526,1.5
42,p41.0,0,1,Melhorar,-38.70343805201835,1.0
42,p41.1,0,1,Abandonar,-483.95638529813647,1.0
42,p38.1,1,2,Melhorar,248.19207135239552,2.5
42,p37.0,0,2,Continuar,270.41526759318486,2.6666666666666665
42,p38.0,0,3,Melhorar,106.67862000069529,3.0
42,p36.1,0,3,Continuar,195.86913132936397,3.3333333333333335
42,p35.1,0,3,Melhorar,721.6846965584376,3.3333333333333335
43,p42.0,1,1,Abandonar,-33.47659391690718,1.0
43,p42.1,0,1,Abandonar,23.13309173593354,1.0
43,p39.1,1,2,Melhorar,75.64221379774668,2.0
43,p40.0,0,2,Continuar,251.97542124768813,2.0
43,p40.1,1,2,Continuar,178.2568563361658,2.0
43,p41.0,0,2,Continuar,-10.49709827568152,2.0
43,p38.1,1,3,Melhorar,283.258674912703,3.0
43,p37.0,0,3,Continuar,280.1452007423473,3.0
43,p38.0,0,3,Abandonar,157.33350869953895,3.5
43,p36.1,0,3,Congelar,202.45135955007467,3.6666666666666665
43,p35.1,0,3,Melhorar,617.9818584011363,3.3333333333333335
44,p43.0,1,1,Abandonar,22.8301693141233,1.0
44,p43.1,1,1,Abandonar,424.7835699304222,1.0
44,p41.0,0,2,Continuar,-29.98593409588985,2.5
44,p39.1,1,3,Continuar,175.8923144806642,3.0
44,p40.0,0,3,Continuar,266.93311214718705,3.0
44,p40.1,1,3,Abandonar,34.64620900150597,3.0
44,p38.1,1,3,Abandonar,239.09959977288864,3.5
44,p37.0,0,3,Abandonar,276.52271855364427,3.5
44,p36.1,0,3,Congelar,265.1299015249811,3.6666666666666665
44,p35.1,0,3,Congelar,600.3894207759645,3.6666666666666665
45,p44.0,0,1,Continuar,304.6412282091241,1.0
45,p44.1,1,1,Abandonar,120.52292505623208,1.0
45,p41.0,0,2,Continuar,-4.838006378333768,2.5
45,p39.1,1,3,Abandonar,118.48791367701202,3.5
45,p40.0,0,3,Abandonar,277.9229132631742,3.5
45,p36.1,0,3,Abandonar,262.9167536135632,3.6666666666666665
45,p35.1,0,3,Abandonar,500.0105304695835,3.6666666666666665
46,p44.0,0,1,Continuar,294.02349296146724,1.3333333333333335
46,p45.0,0,1,Abandonar,257.37073861163765,1.0
46,p45.1,1,1,Melhorar,395.6579596077106,1.0
46,p41.0,0,3,Melhorar,5.158316080388272,3.0
47,p44.0,0,1,Continuar,301.6285287824596,1.6666666666666667
