i,j,custo,Theta_fb0,Theta_fb1,Theta_fb2,Theta_fb3,Theta_fb4,Theta_fb5,silo_0,silo_1,silo_2,silo_3,silo_4,silo_5,silo_6,silo_7,silo_8,silo_9,silo_10,silo_11,silo_12,silo_13,silo_14,silo_15,pos
0,72,178.3625,178.3625,2579.2499999999995,246.2765625,180.5,255.5625,3765.325,100,20.5,36.0,0,20.5,33.0,20.5,0,20.5,7.75,0,0,0,4.5,0,0,1
0,73,182.16250000000002,182.16250000000002,2623.8999999999996,248.82656250000002,180.5,251.5625,3841.5625,100,19.5,35.0,0,19.5,32.0,19.5,0,19.5,6.75,0,0,0,3.5,0,0,1
0,74,187.86249999999998,187.86249999999998,2668.5499999999997,253.27656249999998,180.5,247.5625,3923.5,100,18.5,34.0,0,18.5,31.0,18.5,0,18.5,5.75,0,0,0,2.5,0,0,1
0,75,193.5625,193.5625,2713.2,257.7265625,180.5,243.5625,4010.6625,100,17.5,33.0,0,17.5,30.0,17.5,0,17.5,4.75,0,0,0,1.5,0,0,1
0,76,199.26250000000002,199.26250000000002,2757.8499999999995,262.17656250000005,180.5,239.5625,4104.475,100,16.5,32.0,0,16.5,29.0,16.5,0,16.5,3.75,0,0,0,0.5,0,0,1
0,77,204.4875,204.4875,2795.8499999999995,266.0421875,180.5,235.1875,4204.9375,100,15.5,31.0,0,15.5,28.0,15.5,0,15.5,2.75,0,0,0,0,0,0,1
0,78,209.2375,209.2375,2827.2,269.3234375,180.5,230.4375,4312.049999999999,100,14.5,30.0,0,14.5,27.0,14.5,0,14.5,1.75,0,0,0,0,0,0,1
0,79,213.98749999999998,213.98749999999998,2858.5499999999997,272.60468749999995,180.5,225.6875,4424.3875,100,13.5,29.0,0,13.5,26.0,13.5,0,13.5,0.75,0,0,0,0,0,0,1
0,80,218.5,218.5,2888.4749999999995,275.96875,180.5,220.75,4541.0,100,12.5,28.0,0,12.5,25.0,12.5,0,12.5,0,0,0,0,0,0,0,1
0,81,222.3,222.3,2912.2249999999995,279.33125,180.5,215.25,4663.075,100,11.5,27.0,0,11.5,24.0,11.5,0,11.5,0,0,0,0,0,0,0,1
0,82,226.10000000000002,226.10000000000002,2936.9249999999997,282.69375,180.5,209.75,4787.525,100,10.5,26.0,0,10.5,23.0,10.5,0,10.5,0,0,0,0,0,0,0,1
0,83,229.89999999999998,229.89999999999998,2962.575,286.05625,180.5,204.625,4912.925,100,9.5,25.0,0,9.5,22.0,9.5,0,9.5,0,0,0,0,0,0,0,1
